num,label,url
116,ransomware,vyohacxzoue32vvk.r3b2sh.top
117,ransomware,unixbroungs.top
118,ransomware,3qbyaoohkcqkzrz6.torcommunity.ch
119,ransomware,vyohacxzoue32vvk.0ot7em.bid
120,ransomware,52uo5k3t73ypjije.aryh7f.bid
121,ransomware,p27dokhpz2n7nvgr.12umzf.top
122,ransomware,vyohacxzoue32vvk.zp9i1l.bid
123,ransomware,52uo5k3t73ypjije.m5fgoi.top
124,ransomware,p27dokhpz2n7nvgr.1jh5kv.top
125,ransomware,hjhqmbxyinislkkt.1fzjn3.top
126,ransomware,unocl45trpuoefft.kf1gxm.bid
127,ransomware,p27dokhpz2n7nvgr.15jznv.top
128,ransomware,52uo5k3t73ypjije.dvuybv.bid
129,ransomware,unocl45trpuoefft.1cn41a.bid
130,ransomware,4kqd3hmqgptupi3p.y5j7e6.top
131,ransomware,hjhqmbxyinislkkt.17rm9b.top
132,ransomware,vyohacxzoue32vvk.kwrd4f.bid
133,ransomware,52uo5k3t73ypjije.95ovzy.top
134,ransomware,vyohacxzoue32vvk.w22p3v.top
135,ransomware,4w5wihkwyhsav2ha.grandhaus.at
136,ransomware,52uo5k3t73ypjije.k21zey.bid
137,ransomware,pmenboeqhyrpvomq.o08a6d.top
138,ransomware,unocl45trpuoefft.xf38wp.bid
139,ransomware,dltvwp.it
140,ransomware,ampjsppmftmfdblpt.info
141,ransomware,pe2cku7pebkpgeko.13inb1.top
142,ransomware,unocl45trpuoefft.eo6rzt.bid
143,ransomware,vyohacxzoue32vvk.kfymbh.top
144,ransomware,52uo5k3t73ypjije.ahvshc.top
145,ransomware,52uo5k3t73ypjije.gg4dgp.bid
146,ransomware,unocl45trpuoefft.5v3uvc.bid
147,ransomware,vyohacxzoue32vvk.2hr4fs.top
148,ransomware,domainstop.top
149,ransomware,unocl45trpuoefft.c4issd.bid
150,ransomware,ftoxmpdipwobp4qy.1nsnuh.top
151,ransomware,fqtdrnqmeofknd.biz
152,ransomware,cerberhhyed5frqa.305iot.top
153,ransomware,anbqjdoyw6wkmpeu.oldtrees.at
154,ransomware,unocl45trpuoefft.60c61d.bid
155,ransomware,p27dokhpz2n7nvgr.1cb19l.top
156,ransomware,ftoxmpdipwobp4qy.7pnxn9.top
157,ransomware,hjhqmbxyinislkkt.13eymq.top
158,ransomware,xpcx6erilkjced3j.1n5mod.top
159,ransomware,rbwubtpsyokqn.info
160,ransomware,4kqd3hmqgptupi3p.4j11jt.bid
161,ransomware,52uo5k3t73ypjije.rgdk0u.top
162,ransomware,yavmxpiqfwmubk.pw
163,ransomware,52uo5k3t73ypjije.ssh3ln.bid
164,ransomware,52uo5k3t73ypjije.snwy26.top
165,ransomware,lfdachijzuwx4bc4.ex9n9v.top
166,ransomware,avsxrcoq2q5fgrw2.w5hilw.top
167,ransomware,hjhqmbxyinislkkt.1w5iy8.top
168,ransomware,de2nuvwegoo32oqv.torworks.li
169,ransomware,hjhqmbxyinislkkt.12m58x.top
170,ransomware,unocl45trpuoefft.frn62e.top
171,ransomware,52uo5k3t73ypjije.7156et.bid
172,ransomware,ftoxmpdipwobp4qy.1gtx3p.top
173,ransomware,ffoqr3ug7m726zou.ndnmuk.top
174,ransomware,p27dokhpz2n7nvgr.13g2v9.top
175,ransomware,p27dokhpz2n7nvgr.1bniyw.top
176,ransomware,ubisortdasert.top
177,ransomware,pmenboeqhyrpvomq.paypoints.red
178,ransomware,avsxrcoq2q5fgrw2.vestjb.top
179,ransomware,4kqd3hmqgptupi3p.he81tz.bid
180,ransomware,vyohacxzoue32vvk.7jrv53.bid
181,ransomware,unocl45trpuoefft.v4kx51.bid
182,ransomware,de2nuvwegoo32oqv.tormilki.li
183,ransomware,avsxrcoq2q5fgrw2.79j8fm.top
184,ransomware,cerberhhyed5frqa.xmfu59.win
185,ransomware,52uo5k3t73ypjije.un8niw.top
186,ransomware,pmenboeqhyrpvomq.yw4629.top
187,ransomware,ffoqr3ug7m726zou.ac7zvz.top
188,ransomware,52uo5k3t73ypjije.b2s4ch.bid
189,ransomware,ffoqr3ug7m726zou.hy6dxo.bid
190,ransomware,zjfq4lnfbs7pncr5.onion.to
191,ransomware,www.1axb.com
192,ransomware,bkdjvmmkwgkvgw.su
193,ransomware,hjhqmbxyinislkkt.1hapca.top
194,ransomware,vyohacxzoue32vvk.mpduf5.bid
195,ransomware,xofguhypjgvxrm.pw
